Year;Month;Date;Zip Code;Active Energy (kWh)
2022;3;2022-03;7595;497677.287
2022;3;2022-03;7630;5831245.435
2022;3;2022-03;7780;27661147.97
2022;3;2022-03;7800;10903883.718
2022;3;2022-03;7900;3975925.67
2022;3;2022-03;7940;1209761.493
2022;3;2022-03;8000;7768461.597
2022;3;2022-03;8005;13521512.126
2022;3;2022-03;8100;18137392.678
2022;3;2022-03;8125;13223328.809
2022;3;2022-03;8365;7143932.031
2022;3;2022-03;8600;13933389.771
2022;3;2022-03;8700;10295370.051
2022;3;2022-03;8800;9574672.805
2022;3;2022-03;8950;3394054.548
2022;4;2022-04;1000;10619561.465
2022;4;2022-04;1070;13640419.35
2022;4;2022-04;1200;15249871.114
2022;4;2022-04;1300;9564193.789
2022;4;2022-04;1495;6883503.505
2022;4;2022-04;1500;23713129.717
2022;4;2022-04;1749;37.238
2022;4;2022-04;1750;7653470.757
2022;4;2022-04;1800;11873183.189
2022;4;2022-04;1885;2472235.711
2022;4;2022-04;1950;8056046.14
2022;4;2022-04;1990;14713858.942
2022;4;2022-04;2000;6056138.603
2022;4;2022-04;2005;11046833.931
2022;4;2022-04;2040;13249923.192
2022;4;2022-04;2070;7580168.365
2022;4;2022-04;2090;2554611.854
2022;4;2022-04;2100;7877226.419
2022;4;2022-04;2120;3010375.877
2022;4;2022-04;2135;5693993.866
2022;4;2022-04;2200;5605994.017
2022;4;2022-04;2230;988971.923
2022;4;2022-04;2300;6073887.447
2022;4;2022-04;2395;723093.563
2022;4;2022-04;2405;10886289.201
2022;4;2022-04;2430;41259951.635
2022;4;2022-04;2445;7368760.312
2022;4;2022-04;2450;6427313.657
2022;4;2022-04;2480;10910546.583
2022;4;2022-04;2485;780528.523
2022;4;2022-04;2500;15287531.838
2022;4;2022-04;2530;6512172.632
2022;4;2022-04;2580;18510377.425
2022;4;2022-04;2590;2317347.844
2022;4;2022-04;2695;5929600.355
2022;4;2022-04;2700;18027351.872
2022;4;2022-04;2710;12418423.671
2022;4;2022-04;2725;12481353.714
2022;4;2022-04;2775;8931376.1
2022;4;2022-04;2810;9065974.79
2022;4;2022-04;2835;9247943.864
2022;4;2022-04;2855;8469947.646
2022;4;2022-04;2860;7305004.173
2022;4;2022-04;2900;21903498.351
2022;4;2022-04;2910;48006509.832
2022;4;2022-04;2950;27160696.136
2022;4;2022-04;2970;6992142.969
2022;4;2022-04;2985;3607981.351
2022;4;2022-04;3000;10888915.611
2022;4;2022-04;3020;16341429.496
2022;4;2022-04;3040;6755041.954
2022;4;2022-04;3070;5118743.38
2022;4;2022-04;3105;8896788.124
2022;4;2022-04;3150;3717025.434
2022;4;2022-04;3200;4637731.342
2022;4;2022-04;3240;3324501.47
2022;4;2022-04;3270;1517739.072
2022;4;2022-04;3305;694552.508
2022;4;2022-04;3360;3014822.047
2022;4;2022-04;3400;7171075.306
2022;4;2022-04;3405;1245907.4
2022;4;2022-04;3420;2821210.988
2022;4;2022-04;3430;2395338.449
2022;4;2022-04;3570;1397764.484
2022;4;2022-04;3610;1637169.211
2022;4;2022-04;3630;525762.378
2022;4;2022-04;3650;1004843.838
2022;4;2022-04;3670;2042594.651
2022;4;2022-04;3680;4005987.957
2022;4;2022-04;3730;8443927.778
2022;4;2022-04;3750;23798409.079
2022;4;2022-04;3840;7742635.567
2022;4;2022-04;4000;13067047.078
2022;4;2022-04;4050;14086279.77
2022;4;2022-04;4150;15890899.882
2022;4;2022-04;4350;5923816.644
2022;4;2022-04;4420;7434009.645
2022;4;2022-04;4435;12279799.418
2022;4;2022-04;4440;10840679.955
2022;4;2022-04;4455;6951807.022
2022;4;2022-04;4465;12288970.386
2022;4;2022-04;4475;62216326.032
2022;4;2022-04;4500;7973055.014
2022;4;2022-04;4510;7856044.543
2022;4;2022-04;4550;3369279.366
2022;4;2022-04;4560;12449049.416
2022;4;2022-04;4575;6784303.266
2022;4;2022-04;4590;8041345.61
2022;4;2022-04;4610;7859836.222
2022;4;2022-04;4620;9709957.016
2022;4;2022-04;4625;2279959.644
2022;4;2022-04;4640;2770186.065
2022;4;2022-04;4650;4109345.424
2022;4;2022-04;4700;16221818.671
2022;4;2022-04;4705;13923485.412
2022;4;2022-04;4715;11175127.897
2022;4;2022-04;4720;3617786.538
2022;4;2022-04;4745;4357197.33
2022;4;2022-04;4750;18962760.48
2022;4;2022-04;4765;10542459.91
2022;4;2022-04;4775;3723983.757
2022;4;2022-04;4780;12989531.501
2022;4;2022-04;4800;8826200.701
2022;4;2022-04;4805;14578659.978
2022;4;2022-04;4820;12172194.635
2022;4;2022-04;4825;6051890.496
2022;4;2022-04;4830;4488265.587
2022;4;2022-04;4845;679724.643
2022;4;2022-04;4870;1236104.6
2022;4;2022-04;4880;1185755.356
2022;4;2022-04;4940;2007103.689
2022;4;2022-04;4960;1735286.015
2022;4;2022-04;4980;1945115.656
2022;4;2022-04;4990;8771075.792
2022;4;2022-04;5030;979258.955
2022;4;2022-04;5090;1012652.383
2022;4;2022-04;5130;1415688.357
2022;4;2022-04;5160;1835364.98
2022;4;2022-04;5230;807628.755
2022;4;2022-04;5385;498890.978
2022;4;2022-04;5400;8604464.081
2022;4;2022-04;5425;811266.131
2022;4;2022-04;6000;12586188.321
2022;4;2022-04;6005;2567473.316
2022;4;2022-04;6030;9744538.0
2022;4;2022-04;6050;1466047.646
2022;4;2022-04;6060;2340768.41
2022;4;2022-04;6120;2001557.535
2022;4;2022-04;6150;1605203.06
2022;4;2022-04;6215;1727437.705
2022;4;2022-04;6270;5173020.219
2022;4;2022-04;6370;951191.472
2022;4;2022-04;6420;1982904.941
